Epoch 59/100, Train acc: 75.1786%, Train loss: 0.7306, Val acc: 63.87%, Val loss: 1.2327
Epoch 60/100, Train acc: 75.6250%, Train loss: 0.7282, Val acc: 62.89%, Val loss: 1.2310
Epoch 61/100, Train acc: 75.5134%, Train loss: 0.7281, Val acc: 61.72%, Val loss: 1.2710
Epoch 62/100, Train acc: 76.3951%, Train loss: 0.7068, Val acc: 63.77%, Val loss: 1.2607
Epoch 63/100, Train acc: 76.4397%, Train loss: 0.6977, Val acc: 62.60%, Val loss: 1.2504
Epoch 64/100, Train acc: 77.3214%, Train loss: 0.6828, Val acc: 61.52%, Val loss: 1.2750
Epoch 65/100, Train acc: 76.5737%, Train loss: 0.6911, Val acc: 63.38%, Val loss: 1.2582
Epoch 66/100, Train acc: 77.4498%, Train loss: 0.6669, Val acc: 63.77%, Val loss: 1.2457
Epoch 67/100, Train acc: 77.9074%, Train loss: 0.6512, Val acc: 64.26%, Val loss: 1.2643
Epoch 68/100, Train acc: 78.2478%, Train loss: 0.6457, Val acc: 63.57%, Val loss: 1.2597
Epoch 69/100, Train acc: 78.2812%, Train loss: 0.6396, Val acc: 62.99%, Val loss: 1.2944
Epoch 70/100, Train acc: 78.4263%, Train loss: 0.6429, Val acc: 63.77%, Val loss: 1.3176
Epoch 71/100, Train acc: 78.4487%, Train loss: 0.6402, Val acc: 63.18%, Val loss: 1.3350
Epoch 72/100, Train acc: 79.2746%, Train loss: 0.6230, Val acc: 63.57%, Val loss: 1.3124
Epoch 73/100, Train acc: 79.4866%, Train loss: 0.6169, Val acc: 62.89%, Val loss: 1.3001
Epoch 74/100, Train acc: 79.4810%, Train loss: 0.6162, Val acc: 64.06%, Val loss: 1.3074
Epoch 75/100, Train acc: 79.4866%, Train loss: 0.6092, Val acc: 63.48%, Val loss: 1.2964
Epoch 76/100, Train acc: 80.3292%, Train loss: 0.5870, Val acc: 63.48%, Val loss: 1.3058
Epoch 77/100, Train acc: 80.2344%, Train loss: 0.5901, Val acc: 64.55%, Val loss: 1.2676
Epoch 78/100, Train acc: 80.0335%, Train loss: 0.5909, Val acc: 63.09%, Val loss: 1.2782
