Epoch 51/100, Clear train acc: 95.0034%, Clear train loss: 0.1831, Clear val acc: 84.30%, Clear val loss: 0.8769
Epoch 52/100, Clear train acc: 95.2524%, Clear train loss: 0.1681, Clear val acc: 84.23%, Clear val loss: 0.8783
Epoch 53/100, Clear train acc: 95.5271%, Clear train loss: 0.1599, Clear val acc: 84.13%, Clear val loss: 0.8447
Epoch 54/100, Clear train acc: 95.9521%, Clear train loss: 0.1464, Clear val acc: 85.23%, Clear val loss: 0.8095
Epoch 55/100, Clear train acc: 95.8019%, Clear train loss: 0.1487, Clear val acc: 84.91%, Clear val loss: 0.8291
Epoch 56/100, Clear train acc: 95.6087%, Clear train loss: 0.1591, Clear val acc: 84.30%, Clear val loss: 0.9076
Epoch 57/100, Clear train acc: 96.1023%, Clear train loss: 0.1405, Clear val acc: 84.94%, Clear val loss: 0.8673
Epoch 58/100, Clear train acc: 96.2139%, Clear train loss: 0.1369, Clear val acc: 85.94%, Clear val loss: 0.8370
Epoch 59/100, Clear train acc: 95.9864%, Clear train loss: 0.1438, Clear val acc: 84.02%, Clear val loss: 0.8611
Epoch 60/100, Clear train acc: 95.9864%, Clear train loss: 0.1403, Clear val acc: 84.91%, Clear val loss: 0.8507
Epoch 61/100, Clear train acc: 96.0465%, Clear train loss: 0.1360, Clear val acc: 83.91%, Clear val loss: 0.8576
Epoch 62/100, Clear train acc: 96.6604%, Clear train loss: 0.1186, Clear val acc: 85.16%, Clear val loss: 0.8244
Epoch 63/100, Clear train acc: 96.7548%, Clear train loss: 0.1120, Clear val acc: 85.44%, Clear val loss: 0.8159
Epoch 64/100, Clear train acc: 96.7849%, Clear train loss: 0.1105, Clear val acc: 85.19%, Clear val loss: 0.8712
Epoch 65/100, Clear train acc: 97.2914%, Clear train loss: 0.1002, Clear val acc: 85.72%, Clear val loss: 0.8525
Epoch 66/100, Clear train acc: 97.4330%, Clear train loss: 0.0957, Clear val acc: 86.43%, Clear val loss: 0.8278
Epoch 67/100, Clear train acc: 97.4330%, Clear train loss: 0.0892, Clear val acc: 85.97%, Clear val loss: 0.8233
Epoch 68/100, Clear train acc: 97.4245%, Clear train loss: 0.0929, Clear val acc: 85.76%, Clear val loss: 0.8187
Epoch 69/100, Clear train acc: 97.3515%, Clear train loss: 0.0947, Clear val acc: 87.00%, Clear val loss: 0.7796
Epoch 70/100, Clear train acc: 97.4502%, Clear train loss: 0.0928, Clear val acc: 86.43%, Clear val loss: 0.8039
Epoch 71/100, Clear train acc: 97.7636%, Clear train loss: 0.0786, Clear val acc: 87.29%, Clear val loss: 0.7913
Epoch 72/100, Clear train acc: 97.6262%, Clear train loss: 0.0858, Clear val acc: 86.83%, Clear val loss: 0.7963
Epoch 73/100, Clear train acc: 97.8838%, Clear train loss: 0.0781, Clear val acc: 86.72%, Clear val loss: 0.7755
Epoch 74/100, Clear train acc: 97.9138%, Clear train loss: 0.0767, Clear val acc: 87.04%, Clear val loss: 0.7580
Epoch 75/100, Clear train acc: 97.9825%, Clear train loss: 0.0735, Clear val acc: 87.54%, Clear val loss: 0.7781
