Epoch 51/100, Blur train acc: 88.5631%, Blur train loss: 0.3434, Blur val acc: 50.75%, Blur val loss: 2.5408
Epoch 52/100, Blur train acc: 89.1769%, Blur train loss: 0.3307, Blur val acc: 52.69%, Blur val loss: 2.5034
Epoch 53/100, Blur train acc: 89.5006%, Blur train loss: 0.3170, Blur val acc: 52.73%, Blur val loss: 2.3591
Epoch 54/100, Blur train acc: 89.8912%, Blur train loss: 0.3158, Blur val acc: 51.07%, Blur val loss: 2.5052
Epoch 55/100, Blur train acc: 89.0374%, Blur train loss: 0.3283, Blur val acc: 51.29%, Blur val loss: 2.7630
Epoch 56/100, Blur train acc: 88.6970%, Blur train loss: 0.3421, Blur val acc: 53.83%, Blur val loss: 2.4660
Epoch 57/100, Blur train acc: 89.5452%, Blur train loss: 0.3144, Blur val acc: 52.17%, Blur val loss: 2.5294
Epoch 58/100, Blur train acc: 89.7991%, Blur train loss: 0.3093, Blur val acc: 51.60%, Blur val loss: 2.4902
Epoch 59/100, Blur train acc: 90.4548%, Blur train loss: 0.2909, Blur val acc: 52.31%, Blur val loss: 2.6419
Epoch 60/100, Blur train acc: 89.8131%, Blur train loss: 0.3032, Blur val acc: 50.45%, Blur val loss: 2.9454
Epoch 61/100, Blur train acc: 90.4269%, Blur train loss: 0.2935, Blur val acc: 52.30%, Blur val loss: 2.3228
Epoch 62/100, Blur train acc: 90.6166%, Blur train loss: 0.2833, Blur val acc: 50.18%, Blur val loss: 2.6153
Epoch 63/100, Blur train acc: 90.7980%, Blur train loss: 0.2797, Blur val acc: 53.67%, Blur val loss: 2.3855
Epoch 64/100, Blur train acc: 90.3320%, Blur train loss: 0.2938, Blur val acc: 50.97%, Blur val loss: 2.4518
Epoch 65/100, Blur train acc: 90.8454%, Blur train loss: 0.2765, Blur val acc: 52.65%, Blur val loss: 2.4060
Epoch 66/100, Blur train acc: 91.3700%, Blur train loss: 0.2644, Blur val acc: 55.49%, Blur val loss: 2.1493
Epoch 67/100, Blur train acc: 91.3560%, Blur train loss: 0.2620, Blur val acc: 53.52%, Blur val loss: 2.4809
Epoch 68/100, Blur train acc: 91.7243%, Blur train loss: 0.2504, Blur val acc: 50.65%, Blur val loss: 2.4104
Epoch 69/100, Blur train acc: 90.9347%, Blur train loss: 0.2733, Blur val acc: 56.32%, Blur val loss: 2.0152
Epoch 70/100, Blur train acc: 91.5904%, Blur train loss: 0.2533, Blur val acc: 50.10%, Blur val loss: 2.6427
Epoch 71/100, Blur train acc: 91.5709%, Blur train loss: 0.2547, Blur val acc: 52.65%, Blur val loss: 2.7448
Epoch 72/100, Blur train acc: 91.9699%, Blur train loss: 0.2462, Blur val acc: 53.53%, Blur val loss: 2.4233
Epoch 73/100, Blur train acc: 91.8192%, Blur train loss: 0.2497, Blur val acc: 53.81%, Blur val loss: 2.4879
Epoch 74/100, Blur train acc: 92.0201%, Blur train loss: 0.2453, Blur val acc: 54.52%, Blur val loss: 2.2356
Epoch 75/100, Blur train acc: 92.3438%, Blur train loss: 0.2332, Blur val acc: 52.99%, Blur val loss: 2.6384
Epoch 76/100, Blur train acc: 92.4330%, Blur train loss: 0.2306, Blur val acc: 51.03%, Blur val loss: 2.8377
Epoch 77/100, Blur train acc: 92.5391%, Blur train loss: 0.2282, Blur val acc: 52.27%, Blur val loss: 2.6370
Epoch 78/100, Blur train acc: 92.4916%, Blur train loss: 0.2288, Blur val acc: 51.58%, Blur val loss: 2.4210
Epoch 79/100, Blur train acc: 92.5977%, Blur train loss: 0.2217, Blur val acc: 55.02%, Blur val loss: 2.3505
Epoch 80/100, Blur train acc: 92.5140%, Blur train loss: 0.2246, Blur val acc: 52.23%, Blur val loss: 2.3114
Epoch 81/100, Blur train acc: 92.8460%, Blur train loss: 0.2164, Blur val acc: 55.62%, Blur val loss: 2.1654
Epoch 82/100, Blur train acc: 92.9715%, Blur train loss: 0.2110, Blur val acc: 53.37%, Blur val loss: 2.4067
Epoch 83/100, Blur train acc: 92.3521%, Blur train loss: 0.2320, Blur val acc: 51.70%, Blur val loss: 2.6102
Epoch 84/100, Blur train acc: 92.3298%, Blur train loss: 0.2284, Blur val acc: 53.70%, Blur val loss: 2.3705
Epoch 85/100, Blur train acc: 93.3147%, Blur train loss: 0.2029, Blur val acc: 52.45%, Blur val loss: 2.4999
Epoch 86/100, Blur train acc: 93.3538%, Blur train loss: 0.2017, Blur val acc: 52.90%, Blur val loss: 2.5432
Epoch 87/100, Blur train acc: 93.2031%, Blur train loss: 0.2074, Blur val acc: 54.49%, Blur val loss: 2.2374
Epoch 88/100, Blur train acc: 92.3996%, Blur train loss: 0.2272, Blur val acc: 55.68%, Blur val loss: 2.4589
Epoch 89/100, Blur train acc: 93.1222%, Blur train loss: 0.2041, Blur val acc: 55.08%, Blur val loss: 2.5649
Epoch 90/100, Blur train acc: 93.6077%, Blur train loss: 0.1931, Blur val acc: 55.36%, Blur val loss: 2.5540
Epoch 91/100, Blur train acc: 93.2422%, Blur train loss: 0.1998, Blur val acc: 51.39%, Blur val loss: 2.5508
Epoch 92/100, Blur train acc: 93.2366%, Blur train loss: 0.2002, Blur val acc: 54.15%, Blur val loss: 2.6703
Epoch 93/100, Blur train acc: 93.8728%, Blur train loss: 0.1901, Blur val acc: 52.39%, Blur val loss: 2.5337
Epoch 94/100, Blur train acc: 93.8588%, Blur train loss: 0.1861, Blur val acc: 52.35%, Blur val loss: 2.7321
Epoch 95/100, Blur train acc: 93.5965%, Blur train loss: 0.1925, Blur val acc: 51.39%, Blur val loss: 2.5363
Epoch 96/100, Blur train acc: 93.4877%, Blur train loss: 0.1946, Blur val acc: 51.44%, Blur val loss: 2.7767
Epoch 97/100, Blur train acc: 93.6830%, Blur train loss: 0.1855, Blur val acc: 52.27%, Blur val loss: 2.5979
Epoch 98/100, Blur train acc: 94.0709%, Blur train loss: 0.1806, Blur val acc: 52.13%, Blur val loss: 2.7996
Epoch 99/100, Blur train acc: 94.0458%, Blur train loss: 0.1809, Blur val acc: 53.75%, Blur val loss: 2.5172
Epoch 100/100, Blur train acc: 94.3945%, Blur train loss: 0.1721, Blur val acc: 49.92%, Blur val loss: 2.9252
