Epoch 51/100, Blur train acc: 75.3069%, Blur train loss: 0.7341, Blur val acc: 65.14%, Blur val loss: 1.1684
Epoch 52/100, Blur train acc: 75.6306%, Blur train loss: 0.7231, Blur val acc: 66.50%, Blur val loss: 1.1606
Epoch 53/100, Blur train acc: 76.3728%, Blur train loss: 0.6908, Blur val acc: 64.94%, Blur val loss: 1.2180
Epoch 54/100, Blur train acc: 76.6183%, Blur train loss: 0.6898, Blur val acc: 63.96%, Blur val loss: 1.2180
Epoch 55/100, Blur train acc: 76.0045%, Blur train loss: 0.7161, Blur val acc: 65.33%, Blur val loss: 1.2266
Epoch 56/100, Blur train acc: 77.9129%, Blur train loss: 0.6635, Blur val acc: 66.89%, Blur val loss: 1.1573
Epoch 57/100, Blur train acc: 77.8069%, Blur train loss: 0.6534, Blur val acc: 66.31%, Blur val loss: 1.1807
Epoch 58/100, Blur train acc: 78.9118%, Blur train loss: 0.6237, Blur val acc: 65.62%, Blur val loss: 1.2810
Epoch 59/100, Blur train acc: 79.1016%, Blur train loss: 0.6195, Blur val acc: 66.60%, Blur val loss: 1.1716
Epoch 60/100, Blur train acc: 79.3583%, Blur train loss: 0.6158, Blur val acc: 66.50%, Blur val loss: 1.2344
Epoch 61/100, Blur train acc: 79.7768%, Blur train loss: 0.6078, Blur val acc: 66.50%, Blur val loss: 1.1933
Epoch 62/100, Blur train acc: 80.3962%, Blur train loss: 0.5820, Blur val acc: 67.38%, Blur val loss: 1.1465
Epoch 63/100, Blur train acc: 80.3181%, Blur train loss: 0.5826, Blur val acc: 65.82%, Blur val loss: 1.1456
Epoch 64/100, Blur train acc: 80.4241%, Blur train loss: 0.5679, Blur val acc: 66.99%, Blur val loss: 1.1469
Epoch 65/100, Blur train acc: 80.3125%, Blur train loss: 0.5822, Blur val acc: 66.41%, Blur val loss: 1.2293
Epoch 66/100, Blur train acc: 81.8750%, Blur train loss: 0.5405, Blur val acc: 67.77%, Blur val loss: 1.1566
Epoch 67/100, Blur train acc: 81.0938%, Blur train loss: 0.5493, Blur val acc: 68.85%, Blur val loss: 1.1379
Epoch 68/100, Blur train acc: 81.5402%, Blur train loss: 0.5528, Blur val acc: 66.99%, Blur val loss: 1.1529
Epoch 69/100, Blur train acc: 82.4944%, Blur train loss: 0.5287, Blur val acc: 66.89%, Blur val loss: 1.2166
Epoch 70/100, Blur train acc: 82.1540%, Blur train loss: 0.5300, Blur val acc: 68.85%, Blur val loss: 1.1528
Epoch 71/100, Blur train acc: 82.9241%, Blur train loss: 0.5087, Blur val acc: 67.19%, Blur val loss: 1.1426
Epoch 72/100, Blur train acc: 82.9967%, Blur train loss: 0.4979, Blur val acc: 68.36%, Blur val loss: 1.1697
Epoch 73/100, Blur train acc: 82.7009%, Blur train loss: 0.5102, Blur val acc: 69.04%, Blur val loss: 1.1415
Epoch 74/100, Blur train acc: 83.6942%, Blur train loss: 0.4839, Blur val acc: 67.97%, Blur val loss: 1.1761
Epoch 75/100, Blur train acc: 83.5435%, Blur train loss: 0.4943, Blur val acc: 69.04%, Blur val loss: 1.1715
Epoch 76/100, Blur train acc: 83.6998%, Blur train loss: 0.4881, Blur val acc: 69.34%, Blur val loss: 1.1902
Epoch 77/100, Blur train acc: 83.5993%, Blur train loss: 0.4858, Blur val acc: 68.75%, Blur val loss: 1.1962
Epoch 78/100, Blur train acc: 84.3527%, Blur train loss: 0.4711, Blur val acc: 68.07%, Blur val loss: 1.1921
Epoch 79/100, Blur train acc: 84.5815%, Blur train loss: 0.4624, Blur val acc: 68.95%, Blur val loss: 1.1765
Epoch 80/100, Blur train acc: 84.3694%, Blur train loss: 0.4636, Blur val acc: 69.34%, Blur val loss: 1.2005
Epoch 81/100, Blur train acc: 84.4308%, Blur train loss: 0.4628, Blur val acc: 68.85%, Blur val loss: 1.1849
Epoch 82/100, Blur train acc: 84.7042%, Blur train loss: 0.4513, Blur val acc: 70.12%, Blur val loss: 1.2012
Epoch 83/100, Blur train acc: 84.2913%, Blur train loss: 0.4639, Blur val acc: 70.02%, Blur val loss: 1.1666
Epoch 84/100, Blur train acc: 85.4464%, Blur train loss: 0.4401, Blur val acc: 69.34%, Blur val loss: 1.1727
Epoch 85/100, Blur train acc: 85.4185%, Blur train loss: 0.4442, Blur val acc: 69.53%, Blur val loss: 1.1667
Epoch 86/100, Blur train acc: 85.3795%, Blur train loss: 0.4333, Blur val acc: 69.53%, Blur val loss: 1.1708
Epoch 87/100, Blur train acc: 85.0781%, Blur train loss: 0.4456, Blur val acc: 68.85%, Blur val loss: 1.1893
Epoch 88/100, Blur train acc: 85.5357%, Blur train loss: 0.4346, Blur val acc: 70.41%, Blur val loss: 1.1833
Epoch 89/100, Blur train acc: 85.5692%, Blur train loss: 0.4327, Blur val acc: 70.61%, Blur val loss: 1.1785
Epoch 90/100, Blur train acc: 85.6417%, Blur train loss: 0.4266, Blur val acc: 69.82%, Blur val loss: 1.1722
Epoch 91/100, Blur train acc: 85.3125%, Blur train loss: 0.4403, Blur val acc: 70.70%, Blur val loss: 1.1639
Epoch 92/100, Blur train acc: 85.3850%, Blur train loss: 0.4308, Blur val acc: 70.80%, Blur val loss: 1.1659
Epoch 93/100, Blur train acc: 85.2009%, Blur train loss: 0.4370, Blur val acc: 70.80%, Blur val loss: 1.1727
Epoch 94/100, Blur train acc: 84.9944%, Blur train loss: 0.4415, Blur val acc: 70.70%, Blur val loss: 1.1776
Epoch 95/100, Blur train acc: 85.7701%, Blur train loss: 0.4213, Blur val acc: 70.80%, Blur val loss: 1.1795
Epoch 96/100, Blur train acc: 86.3114%, Blur train loss: 0.4176, Blur val acc: 70.80%, Blur val loss: 1.1757
Epoch 97/100, Blur train acc: 85.8092%, Blur train loss: 0.4151, Blur val acc: 70.80%, Blur val loss: 1.1762
Epoch 98/100, Blur train acc: 85.7589%, Blur train loss: 0.4320, Blur val acc: 70.70%, Blur val loss: 1.1780
Epoch 99/100, Blur train acc: 86.2779%, Blur train loss: 0.4171, Blur val acc: 70.61%, Blur val loss: 1.1792
Epoch 100/100, Blur train acc: 86.0100%, Blur train loss: 0.4216, Blur val acc: 70.61%, Blur val loss: 1.1791
