Epoch 59/100, Train acc: 88.0273%, Train loss: 0.3591, Val acc: 46.35%, Val loss: 2.4906
Epoch 60/100, Train acc: 87.9939%, Train loss: 0.3652, Val acc: 47.20%, Val loss: 2.6254
Epoch 61/100, Train acc: 87.9548%, Train loss: 0.3629, Val acc: 48.84%, Val loss: 2.6044
Epoch 62/100, Train acc: 88.8058%, Train loss: 0.3353, Val acc: 48.65%, Val loss: 2.5147
Epoch 63/100, Train acc: 88.6021%, Train loss: 0.3405, Val acc: 50.61%, Val loss: 2.3821
Epoch 64/100, Train acc: 89.1657%, Train loss: 0.3228, Val acc: 51.03%, Val loss: 2.2385
Epoch 65/100, Train acc: 89.1797%, Train loss: 0.3231, Val acc: 51.88%, Val loss: 2.1906
Epoch 66/100, Train acc: 89.3304%, Train loss: 0.3217, Val acc: 51.24%, Val loss: 2.2991
Epoch 67/100, Train acc: 88.9955%, Train loss: 0.3285, Val acc: 48.93%, Val loss: 2.4936
Epoch 68/100, Train acc: 89.9163%, Train loss: 0.3057, Val acc: 49.18%, Val loss: 2.3640
Epoch 69/100, Train acc: 89.8075%, Train loss: 0.3047, Val acc: 49.39%, Val loss: 2.3982
Epoch 70/100, Train acc: 89.3945%, Train loss: 0.3185, Val acc: 50.26%, Val loss: 2.4799
Epoch 71/100, Train acc: 90.1423%, Train loss: 0.3003, Val acc: 49.35%, Val loss: 2.5271
Epoch 72/100, Train acc: 90.1395%, Train loss: 0.2952, Val acc: 51.60%, Val loss: 2.3695
Epoch 73/100, Train acc: 90.3711%, Train loss: 0.2924, Val acc: 50.12%, Val loss: 2.4264
Epoch 74/100, Train acc: 90.4576%, Train loss: 0.2886, Val acc: 52.04%, Val loss: 2.3966
Epoch 75/100, Train acc: 90.3767%, Train loss: 0.2935, Val acc: 51.40%, Val loss: 2.3479
Epoch 76/100, Train acc: 90.3962%, Train loss: 0.2900, Val acc: 50.90%, Val loss: 2.4305
Epoch 77/100, Train acc: 90.5887%, Train loss: 0.2837, Val acc: 50.42%, Val loss: 2.5280
Epoch 78/100, Train acc: 90.9235%, Train loss: 0.2733, Val acc: 50.20%, Val loss: 2.4137
Epoch 79/100, Train acc: 91.0993%, Train loss: 0.2659, Val acc: 49.92%, Val loss: 2.5282
Epoch 80/100, Train acc: 91.2109%, Train loss: 0.2703, Val acc: 50.47%, Val loss: 2.3703
Epoch 81/100, Train acc: 91.1775%, Train loss: 0.2662, Val acc: 49.82%, Val loss: 2.5149
Epoch 82/100, Train acc: 90.9710%, Train loss: 0.2714, Val acc: 49.75%, Val loss: 2.4478
Epoch 83/100, Train acc: 91.0519%, Train loss: 0.2712, Val acc: 50.69%, Val loss: 2.5122
Epoch 84/100, Train acc: 91.2305%, Train loss: 0.2638, Val acc: 50.74%, Val loss: 2.4566
Epoch 85/100, Train acc: 91.5318%, Train loss: 0.2599, Val acc: 51.09%, Val loss: 2.4019
Epoch 86/100, Train acc: 91.7411%, Train loss: 0.2524, Val acc: 49.11%, Val loss: 2.5056
Epoch 87/100, Train acc: 91.4202%, Train loss: 0.2625, Val acc: 50.87%, Val loss: 2.4821
Epoch 88/100, Train acc: 91.3867%, Train loss: 0.2558, Val acc: 50.99%, Val loss: 2.4140
Epoch 89/100, Train acc: 91.6992%, Train loss: 0.2548, Val acc: 50.62%, Val loss: 2.4232
Epoch 90/100, Train acc: 91.9838%, Train loss: 0.2455, Val acc: 50.60%, Val loss: 2.4187
Epoch 91/100, Train acc: 91.8276%, Train loss: 0.2461, Val acc: 50.33%, Val loss: 2.4492
Epoch 92/100, Train acc: 92.0564%, Train loss: 0.2397, Val acc: 50.44%, Val loss: 2.4744
Epoch 93/100, Train acc: 91.6797%, Train loss: 0.2517, Val acc: 50.31%, Val loss: 2.4656
Epoch 94/100, Train acc: 92.1847%, Train loss: 0.2389, Val acc: 50.53%, Val loss: 2.4675
Epoch 95/100, Train acc: 91.8638%, Train loss: 0.2444, Val acc: 50.36%, Val loss: 2.4554
Epoch 96/100, Train acc: 91.8694%, Train loss: 0.2487, Val acc: 50.18%, Val loss: 2.4544
Epoch 97/100, Train acc: 91.9866%, Train loss: 0.2445, Val acc: 50.39%, Val loss: 2.4576
Epoch 98/100, Train acc: 91.7467%, Train loss: 0.2496, Val acc: 50.36%, Val loss: 2.4557
Epoch 99/100, Train acc: 91.7829%, Train loss: 0.2476, Val acc: 50.34%, Val loss: 2.4549
Epoch 100/100, Train acc: 91.7355%, Train loss: 0.2489, Val acc: 50.37%, Val loss: 2.4546
