Epoch 0/100, Clear train acc: 1.0324%, Clear train loss: 4.6154, Clear val acc: 1.09%, Clear val loss: 4.6125
Epoch 1/100, Clear train acc: 17.3824%, Clear train loss: 3.5512, Clear val acc: 19.98%, Clear val loss: 3.3763
Epoch 2/100, Clear train acc: 25.8637%, Clear train loss: 3.1073, Clear val acc: 28.12%, Clear val loss: 2.9389
Epoch 3/100, Clear train acc: 31.6761%, Clear train loss: 2.8041, Clear val acc: 33.35%, Clear val loss: 2.6707
Epoch 4/100, Clear train acc: 36.7080%, Clear train loss: 2.5581, Clear val acc: 38.96%, Clear val loss: 2.4281
Epoch 5/100, Clear train acc: 38.6203%, Clear train loss: 2.4656, Clear val acc: 41.10%, Clear val loss: 2.3973
Epoch 6/100, Clear train acc: 41.3508%, Clear train loss: 2.3461, Clear val acc: 42.80%, Clear val loss: 2.3157
Epoch 7/100, Clear train acc: 41.6513%, Clear train loss: 2.3163, Clear val acc: 43.77%, Clear val loss: 2.2413
Epoch 8/100, Clear train acc: 43.5227%, Clear train loss: 2.2231, Clear val acc: 45.13%, Clear val loss: 2.1842
Epoch 9/100, Clear train acc: 42.9557%, Clear train loss: 2.2581, Clear val acc: 44.47%, Clear val loss: 2.2326
Epoch 10/100, Clear train acc: 45.5313%, Clear train loss: 2.1454, Clear val acc: 47.18%, Clear val loss: 2.1173
Epoch 11/100, Clear train acc: 45.4751%, Clear train loss: 2.1404, Clear val acc: 46.09%, Clear val loss: 2.1743
Epoch 12/100, Clear train acc: 46.9035%, Clear train loss: 2.0756, Clear val acc: 48.42%, Clear val loss: 2.0522
Epoch 13/100, Clear train acc: 47.0730%, Clear train loss: 2.0709, Clear val acc: 49.30%, Clear val loss: 2.0670
Epoch 14/100, Clear train acc: 48.1748%, Clear train loss: 2.0154, Clear val acc: 49.94%, Clear val loss: 2.0208
Epoch 15/100, Clear train acc: 47.3465%, Clear train loss: 2.0488, Clear val acc: 48.54%, Clear val loss: 2.0543
Epoch 16/100, Clear train acc: 48.0777%, Clear train loss: 2.0275, Clear val acc: 49.81%, Clear val loss: 2.0505
Epoch 17/100, Clear train acc: 48.5562%, Clear train loss: 1.9985, Clear val acc: 49.24%, Clear val loss: 2.0637
Epoch 18/100, Clear train acc: 48.8420%, Clear train loss: 1.9770, Clear val acc: 49.01%, Clear val loss: 2.0170
Epoch 19/100, Clear train acc: 49.8598%, Clear train loss: 1.9380, Clear val acc: 50.74%, Clear val loss: 1.9876
Epoch 20/100, Clear train acc: 50.2435%, Clear train loss: 1.9327, Clear val acc: 51.36%, Clear val loss: 1.9699
Epoch 21/100, Clear train acc: 51.1187%, Clear train loss: 1.8803, Clear val acc: 51.17%, Clear val loss: 1.9598
Epoch 22/100, Clear train acc: 50.6842%, Clear train loss: 1.8983, Clear val acc: 51.25%, Clear val loss: 1.9538
Epoch 23/100, Clear train acc: 50.9068%, Clear train loss: 1.8979, Clear val acc: 51.11%, Clear val loss: 1.9605
Epoch 24/100, Clear train acc: 51.4716%, Clear train loss: 1.8760, Clear val acc: 51.03%, Clear val loss: 2.0002
Epoch 25/100, Clear train acc: 52.0533%, Clear train loss: 1.8423, Clear val acc: 51.62%, Clear val loss: 1.9599
Epoch 26/100, Clear train acc: 54.0372%, Clear train loss: 1.7526, Clear val acc: 53.00%, Clear val loss: 1.8891
Epoch 27/100, Clear train acc: 52.8083%, Clear train loss: 1.8016, Clear val acc: 53.27%, Clear val loss: 1.8852
Epoch 28/100, Clear train acc: 53.3793%, Clear train loss: 1.7754, Clear val acc: 53.25%, Clear val loss: 1.8754
Epoch 29/100, Clear train acc: 52.8854%, Clear train loss: 1.7984, Clear val acc: 52.59%, Clear val loss: 1.8997
Epoch 30/100, Clear train acc: 53.0025%, Clear train loss: 1.7985, Clear val acc: 53.39%, Clear val loss: 1.8463
Epoch 31/100, Clear train acc: 53.9109%, Clear train loss: 1.7611, Clear val acc: 52.82%, Clear val loss: 1.8736
Epoch 32/100, Clear train acc: 54.6960%, Clear train loss: 1.7260, Clear val acc: 53.89%, Clear val loss: 1.8455
Epoch 33/100, Clear train acc: 54.3493%, Clear train loss: 1.7521, Clear val acc: 53.27%, Clear val loss: 1.8778
Epoch 34/100, Clear train acc: 55.6436%, Clear train loss: 1.6756, Clear val acc: 54.09%, Clear val loss: 1.8034
Epoch 35/100, Clear train acc: 55.7184%, Clear train loss: 1.6705, Clear val acc: 54.52%, Clear val loss: 1.8114
Epoch 36/100, Clear train acc: 55.5003%, Clear train loss: 1.6782, Clear val acc: 54.40%, Clear val loss: 1.8145
Epoch 37/100, Clear train acc: 56.1383%, Clear train loss: 1.6576, Clear val acc: 55.30%, Clear val loss: 1.7928
Epoch 38/100, Clear train acc: 56.5058%, Clear train loss: 1.6370, Clear val acc: 54.28%, Clear val loss: 1.7987
Epoch 39/100, Clear train acc: 56.7639%, Clear train loss: 1.6356, Clear val acc: 55.61%, Clear val loss: 1.7997
Epoch 40/100, Clear train acc: 57.2709%, Clear train loss: 1.6126, Clear val acc: 56.31%, Clear val loss: 1.7908
Epoch 41/100, Clear train acc: 58.0914%, Clear train loss: 1.5800, Clear val acc: 55.57%, Clear val loss: 1.7705
Epoch 42/100, Clear train acc: 57.8541%, Clear train loss: 1.5844, Clear val acc: 55.30%, Clear val loss: 1.8009
Epoch 43/100, Clear train acc: 58.2725%, Clear train loss: 1.5637, Clear val acc: 56.50%, Clear val loss: 1.7522
Epoch 44/100, Clear train acc: 58.6785%, Clear train loss: 1.5403, Clear val acc: 56.93%, Clear val loss: 1.7333
Epoch 45/100, Clear train acc: 59.2972%, Clear train loss: 1.5214, Clear val acc: 57.09%, Clear val loss: 1.7086
Epoch 46/100, Clear train acc: 59.4883%, Clear train loss: 1.5084, Clear val acc: 57.28%, Clear val loss: 1.6889
Epoch 47/100, Clear train acc: 59.9883%, Clear train loss: 1.4915, Clear val acc: 57.32%, Clear val loss: 1.7093
Epoch 48/100, Clear train acc: 61.1848%, Clear train loss: 1.4392, Clear val acc: 58.29%, Clear val loss: 1.6992
Epoch 49/100, Clear train acc: 61.3674%, Clear train loss: 1.4335, Clear val acc: 59.00%, Clear val loss: 1.7052
Epoch 50/100, Clear train acc: 60.8497%, Clear train loss: 1.4521, Clear val acc: 57.36%, Clear val loss: 1.6694
Epoch 51/100, Clear train acc: 61.5701%, Clear train loss: 1.4271, Clear val acc: 58.29%, Clear val loss: 1.6791
Epoch 52/100, Clear train acc: 62.6094%, Clear train loss: 1.3826, Clear val acc: 58.66%, Clear val loss: 1.6838
Epoch 53/100, Clear train acc: 62.8852%, Clear train loss: 1.3665, Clear val acc: 59.46%, Clear val loss: 1.6399
Epoch 54/100, Clear train acc: 63.2119%, Clear train loss: 1.3583, Clear val acc: 59.87%, Clear val loss: 1.6228
Epoch 55/100, Clear train acc: 62.9962%, Clear train loss: 1.3614, Clear val acc: 58.82%, Clear val loss: 1.6473
Epoch 56/100, Clear train acc: 63.8106%, Clear train loss: 1.3294, Clear val acc: 59.15%, Clear val loss: 1.6473
Epoch 57/100, Clear train acc: 63.8984%, Clear train loss: 1.3224, Clear val acc: 58.84%, Clear val loss: 1.6729
Epoch 58/100, Clear train acc: 64.5448%, Clear train loss: 1.2936, Clear val acc: 60.16%, Clear val loss: 1.6072
Epoch 59/100, Clear train acc: 64.8399%, Clear train loss: 1.2909, Clear val acc: 60.79%, Clear val loss: 1.6025
Epoch 60/100, Clear train acc: 65.4925%, Clear train loss: 1.2599, Clear val acc: 60.57%, Clear val loss: 1.6157
Epoch 61/100, Clear train acc: 65.7020%, Clear train loss: 1.2481, Clear val acc: 60.55%, Clear val loss: 1.5926
Epoch 62/100, Clear train acc: 66.4224%, Clear train loss: 1.2194, Clear val acc: 61.08%, Clear val loss: 1.5905
Epoch 63/100, Clear train acc: 66.1951%, Clear train loss: 1.2307, Clear val acc: 60.69%, Clear val loss: 1.6153
Epoch 64/100, Clear train acc: 66.8932%, Clear train loss: 1.2046, Clear val acc: 61.12%, Clear val loss: 1.6032
Epoch 65/100, Clear train acc: 67.3146%, Clear train loss: 1.1760, Clear val acc: 61.20%, Clear val loss: 1.5826
Epoch 66/100, Clear train acc: 67.5488%, Clear train loss: 1.1770, Clear val acc: 61.37%, Clear val loss: 1.6057
Epoch 67/100, Clear train acc: 68.2862%, Clear train loss: 1.1473, Clear val acc: 62.38%, Clear val loss: 1.5673
Epoch 68/100, Clear train acc: 68.6483%, Clear train loss: 1.1341, Clear val acc: 61.51%, Clear val loss: 1.6033
Epoch 69/100, Clear train acc: 68.8656%, Clear train loss: 1.1191, Clear val acc: 62.48%, Clear val loss: 1.5478
Epoch 70/100, Clear train acc: 69.3217%, Clear train loss: 1.0998, Clear val acc: 62.75%, Clear val loss: 1.5350
Epoch 71/100, Clear train acc: 69.5713%, Clear train loss: 1.0943, Clear val acc: 62.23%, Clear val loss: 1.5771
Epoch 72/100, Clear train acc: 69.7855%, Clear train loss: 1.0761, Clear val acc: 62.48%, Clear val loss: 1.5513
Epoch 73/100, Clear train acc: 70.4304%, Clear train loss: 1.0550, Clear val acc: 62.58%, Clear val loss: 1.5470
Epoch 74/100, Clear train acc: 70.4350%, Clear train loss: 1.0533, Clear val acc: 62.71%, Clear val loss: 1.5499
Epoch 75/100, Clear train acc: 71.2055%, Clear train loss: 1.0257, Clear val acc: 62.81%, Clear val loss: 1.5586
Epoch 76/100, Clear train acc: 71.6169%, Clear train loss: 1.0161, Clear val acc: 63.06%, Clear val loss: 1.5357
Epoch 77/100, Clear train acc: 71.4751%, Clear train loss: 1.0166, Clear val acc: 62.79%, Clear val loss: 1.5560
Epoch 78/100, Clear train acc: 71.8111%, Clear train loss: 0.9984, Clear val acc: 63.22%, Clear val loss: 1.5489
Epoch 79/100, Clear train acc: 71.9289%, Clear train loss: 0.9987, Clear val acc: 63.10%, Clear val loss: 1.5665
Epoch 80/100, Clear train acc: 72.5615%, Clear train loss: 0.9751, Clear val acc: 63.88%, Clear val loss: 1.5248
Epoch 81/100, Clear train acc: 72.4467%, Clear train loss: 0.9813, Clear val acc: 63.73%, Clear val loss: 1.5355
Epoch 82/100, Clear train acc: 72.8019%, Clear train loss: 0.9587, Clear val acc: 63.59%, Clear val loss: 1.5243
Epoch 83/100, Clear train acc: 73.2595%, Clear train loss: 0.9490, Clear val acc: 63.67%, Clear val loss: 1.5343
Epoch 84/100, Clear train acc: 73.4475%, Clear train loss: 0.9374, Clear val acc: 64.14%, Clear val loss: 1.5213
Epoch 85/100, Clear train acc: 73.8998%, Clear train loss: 0.9238, Clear val acc: 64.49%, Clear val loss: 1.5213
