Epoch 51/100, Clear train acc: 82.4665%, Clear train loss: 0.5079, Clear val acc: 73.54%, Clear val loss: 0.8587
Epoch 52/100, Clear train acc: 83.1362%, Clear train loss: 0.4842, Clear val acc: 73.63%, Clear val loss: 0.9191
Epoch 53/100, Clear train acc: 82.6730%, Clear train loss: 0.5093, Clear val acc: 72.75%, Clear val loss: 0.9654
Epoch 54/100, Clear train acc: 83.4989%, Clear train loss: 0.4927, Clear val acc: 71.78%, Clear val loss: 1.0379
Epoch 55/100, Clear train acc: 83.9844%, Clear train loss: 0.4764, Clear val acc: 73.05%, Clear val loss: 0.9659
Epoch 56/100, Clear train acc: 85.0837%, Clear train loss: 0.4434, Clear val acc: 74.22%, Clear val loss: 0.8932
Epoch 57/100, Clear train acc: 84.8605%, Clear train loss: 0.4494, Clear val acc: 73.73%, Clear val loss: 0.9038
Epoch 58/100, Clear train acc: 85.2846%, Clear train loss: 0.4381, Clear val acc: 74.32%, Clear val loss: 0.9360
Epoch 59/100, Clear train acc: 86.2054%, Clear train loss: 0.4110, Clear val acc: 74.02%, Clear val loss: 0.9370
Epoch 60/100, Clear train acc: 85.7533%, Clear train loss: 0.4244, Clear val acc: 72.66%, Clear val loss: 0.9926
Epoch 61/100, Clear train acc: 85.7087%, Clear train loss: 0.4210, Clear val acc: 74.22%, Clear val loss: 0.9667
Epoch 62/100, Clear train acc: 85.8817%, Clear train loss: 0.4090, Clear val acc: 74.90%, Clear val loss: 0.9394
Epoch 63/100, Clear train acc: 86.6685%, Clear train loss: 0.3944, Clear val acc: 75.59%, Clear val loss: 0.9092
Epoch 64/100, Clear train acc: 86.7801%, Clear train loss: 0.3942, Clear val acc: 75.49%, Clear val loss: 0.9114
Epoch 65/100, Clear train acc: 87.4275%, Clear train loss: 0.3743, Clear val acc: 74.80%, Clear val loss: 0.9624
Epoch 66/100, Clear train acc: 87.4888%, Clear train loss: 0.3723, Clear val acc: 74.90%, Clear val loss: 0.9371
Epoch 67/100, Clear train acc: 87.4888%, Clear train loss: 0.3743, Clear val acc: 73.83%, Clear val loss: 0.9609
Epoch 68/100, Clear train acc: 87.5725%, Clear train loss: 0.3683, Clear val acc: 73.54%, Clear val loss: 1.0012
Epoch 69/100, Clear train acc: 88.2478%, Clear train loss: 0.3507, Clear val acc: 74.02%, Clear val loss: 0.9479
Epoch 70/100, Clear train acc: 88.3203%, Clear train loss: 0.3476, Clear val acc: 74.12%, Clear val loss: 0.9598
Epoch 71/100, Clear train acc: 88.2199%, Clear train loss: 0.3457, Clear val acc: 74.71%, Clear val loss: 0.9106
Epoch 72/100, Clear train acc: 88.8337%, Clear train loss: 0.3233, Clear val acc: 74.71%, Clear val loss: 0.9498
Epoch 73/100, Clear train acc: 88.8170%, Clear train loss: 0.3364, Clear val acc: 75.10%, Clear val loss: 0.9739
Epoch 74/100, Clear train acc: 88.6384%, Clear train loss: 0.3275, Clear val acc: 74.51%, Clear val loss: 1.0050
Epoch 75/100, Clear train acc: 89.1239%, Clear train loss: 0.3255, Clear val acc: 74.32%, Clear val loss: 0.9915
Epoch 76/100, Clear train acc: 88.9788%, Clear train loss: 0.3285, Clear val acc: 73.73%, Clear val loss: 0.9774
Epoch 77/100, Clear train acc: 89.9330%, Clear train loss: 0.3073, Clear val acc: 75.10%, Clear val loss: 0.9516
Epoch 78/100, Clear train acc: 90.0781%, Clear train loss: 0.3023, Clear val acc: 75.68%, Clear val loss: 0.9775
Epoch 79/100, Clear train acc: 89.8940%, Clear train loss: 0.3016, Clear val acc: 75.10%, Clear val loss: 0.9683
Epoch 80/100, Clear train acc: 90.0223%, Clear train loss: 0.2975, Clear val acc: 75.49%, Clear val loss: 0.9708
Epoch 81/100, Clear train acc: 90.4297%, Clear train loss: 0.2907, Clear val acc: 74.80%, Clear val loss: 0.9882
Epoch 82/100, Clear train acc: 90.2065%, Clear train loss: 0.2944, Clear val acc: 75.20%, Clear val loss: 0.9611
Epoch 83/100, Clear train acc: 90.2902%, Clear train loss: 0.3007, Clear val acc: 74.51%, Clear val loss: 1.0077
Epoch 84/100, Clear train acc: 90.6808%, Clear train loss: 0.2784, Clear val acc: 75.68%, Clear val loss: 0.9740
Epoch 85/100, Clear train acc: 90.8315%, Clear train loss: 0.2774, Clear val acc: 75.59%, Clear val loss: 0.9705
Epoch 86/100, Clear train acc: 90.6250%, Clear train loss: 0.2795, Clear val acc: 75.68%, Clear val loss: 0.9806
Epoch 87/100, Clear train acc: 90.6975%, Clear train loss: 0.2769, Clear val acc: 75.88%, Clear val loss: 0.9704
